Rank,Youtuber,Subscribers,VideoViews,VideoCount,Category,Started,SubscribersFormatted
1,T-Series,222000000,198459090822,17317,Music,2006,22.2
3,Cocomelon - Nursery Rhymes,140000000,135481339848,786,Education,2006,14
4,SET India,139000000,125764252686,91271,Shows,2006,13.9
6,PewDiePie,111000000,28469458228,4497,Gaming,2010,11.1
7,MrBeast,102000000,16832456681,726,Entertainment,2012,10.2
8,✿ Kids Diana Show,99700000,79602288245,1009,People & Blogs,2015,9.97
9,Like Nastya,99200000,81963845811,702,People & Blogs,2016,9.92
11,WWE,90200000,70544743313,63077,Sports,2007,9.02
12,Zee Music Company,86700000,49067711243,6603,Music,2014,8.67
13,Vlad and Niki,85100000,66498762660,472,Entertainment,2018,8.51
14,5-Minute Crafts,77100000,23881457195,5581,Howto & Style,2016,7.71
15,BLACKPINK,76200000,24707415704,397,People & Blogs,2016,7.62
17,Goldmines,74100000,18533088438,3968,Film & Animation,2012,7.41
18,Sony SAB,70600000,82473581441,56295,Shows,2007,7.06
19,BANGTANTV,70000000,17471090750,1787,Music,2012,7
20,Justin Bieber,69700000,28567240999,247,Music,2007,6.97
21,HYBE LABELS,67800000,24013849120,971,Music,2008,6.78
22,Canal KondZilla,65900000,36576704790,2313,Music,2012,6.59
23,Zee TV,63000000,17111576122,60802,Entertainment,2005,6.3
24,Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010,6.13
25,Pinkfong Baby Shark - Kids' Songs & Stories,59400000,32107290522,2374,Education,2011,5.94
26,Dude Perfect,58100000,14742860905,297,Sports,2009,5.81
27,ChuChu TV Nursery Rhymes & Kids Songs,57700000,39266652127,506,Education,2013,5.77
28,Movieclips,57600000,58839819120,39202,Film & Animation,2006,5.76
29,Marshmello,55700000,13445424556,401,Entertainment,2015,5.57
30,Colors TV,55100000,52611504230,87427,Shows,2008,5.51
31,Wave Music,53400000,37230876862,18622,Music,2014,5.34
32,EminemMusic,53000000,23717869724,140,Music,2007,5.3
33,Aaj Tak,52900000,20204939173,196497,News & Politics,2009,5.29
34,Tips Official,52800000,27883080973,3612,Music,2007,5.28
35,T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011,5.25
36,Sony Music India,52400000,24856641898,3180,Music,2009,5.24
37,Ed Sheeran,52200000,27881781761,253,Music,2006,5.22
38,El Reino Infantil,51700000,49895247456,1309,Music,2011,5.17
39,Ariana Grande,51600000,22158094076,146,Music,2007,5.16
40,LooLoo Kids - Nursery Rhymes and Children's Songs,49800000,29013984394,553,Music,2014,4.98
41,YRF,47600000,29366788406,3289,Film & Animation,2006,4.76
42,Taylor Swift,47100000,25563795998,189,Music,2006,4.71
43,Billie Eilish,46200000,11999349578,48,Music,2013,4.62
44,JuegaGerman,46100000,13698034536,1959,Gaming,2013,4.61
45,BillionSurpriseToys - English Kids Songs & Cartoon,45700000,8590657189,648,Education,2013,4.57
46,Infobells - Hindi,45600000,25635591765,476,Education,2014,4.56
47,Badabun,45600000,18567925780,13814,Entertainment,2014,4.56
48,Fernanfloo,45100000,9966728650,541,Gaming,2011,4.51
49,Felipe Neto,44300000,15475571879,3512,Entertainment,2006,4.43
